start_date,end_date,recipient_name,amount
2008-03-28,2009-04-30,EXXON MOBIL CORPORATION,718382211.41
2024-09-12,2028-11-30,ELECTRIC BOAT CORPORATION,609103862.0
2024-09-30,2026-09-29,"IT CONCEPTS, INC.",237081504.33
2018-11-05,2024-01-22,TRANSOCEANIC CABLE SHIP COMPANY LLC,204475250.33
2014-09-26,2022-09-30,RAYTHEON COMPANY,197322095.6
2008-09-29,2012-02-13,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",165782092.41
2019-02-01,2020-10-09,BAE SYSTEMS NORFOLK SHIP REPAIR INC.,137376440.9
2010-11-10,2013-10-31,"KELLY AVIATION CENTER, L.P.",127604479.02
2016-10-01,2021-06-30,"DOCUMENT STORAGE SYSTEMS, INC.",110152702.03
2024-07-26,2031-06-30,THE BOEING COMPANY,84817212.4
2008-04-08,2010-12-31,REED TECHNOLOGY AND INFORMATION SERVICES LLC,72637842.96
2005-08-12,2008-01-01,VECTRUS SYSTEMS LLC,71749593.29
2011-12-31,2011-12-31,"MAERSK LINE, LIMITED",70957640.8
2025-06-03,2025-08-31,"VETERANS EVALUATION SERVICES, INC",69116123.05
2020-09-25,2023-12-06,GUYCO INC,68543997.0
2016-04-04,2017-08-11,TEXTRON SYSTEMS CORP,66562977.9
2012-10-01,2019-09-30,CALIFORNIA INSTITUTE OF TECHNOLOGY,64385371.34
2019-06-28,2025-02-28,VSOLVIT LLC,63531045.19
2018-06-22,2021-11-05,ROY ANDERSON CORP,63322406.0
2016-05-18,2025-06-30,ACENTRA HEALTH LLC,61829993.59
2022-10-19,2025-10-18,"MLU SERVICES, LLC",57857604.89
2016-10-01,2022-09-30,UNITED PARADYNE CORP,55151386.63
2009-09-17,2012-09-23,"BALFOUR/S&P TWO, A JOINT VENTURE",53692228.39
2019-07-29,2021-12-31,NIPPO CORPORATION,50682193.7
2020-02-03,2026-02-02,"DAVIS DEFENSE GROUP, INC.",45694621.83
1999-10-06,2003-12-31,TECHTRANS INTERNATIONAL INC,45669756.01
2017-10-31,2022-03-31,THE BOEING COMPANY,45519067.63
2012-02-22,2012-12-14,"WM ROBOTS, LLC",44691264.0
2013-08-27,2014-08-29,"PROTECTIVE PRODUCTS ENTERPRISES, INC.",36840673.6
