internal_id,Award ID,Recipient Name,Start Date,End Date,Award Amount,action_date,generated_internal_id
293251437,B001,EXXON MOBIL CORPORATION,2008-03-28,2009-04-30,718382211.41,,CONT_AWD_B001_9700_SP060008D0485_9700
309514563,N0002424C2124,ELECTRIC BOAT CORPORATION,2024-09-12,2028-11-30,609103862.0,,CONT_AWD_N0002424C2124_9700_-NONE-_-NONE-
279970659,36C10B24F0420,"IT CONCEPTS, INC.",2024-09-30,2026-09-29,237081504.33,,CONT_AWD_36C10B24F0420_3600_GS35F0441Y_4732
310451218,N3220519C3506,TRANSOCEANIC CABLE SHIP COMPANY LLC,2018-11-05,2024-01-22,204475250.33,,CONT_AWD_N3220519C3506_9700_-NONE-_-NONE-
297066829,DTFAWA14C00060,RAYTHEON COMPANY,2014-09-26,2022-09-30,197322095.6,,CONT_AWD_DTFAWA14C00060_6920_-NONE-_-NONE-
307798473,HSHQDC08J00242,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",2008-09-29,2012-02-13,165782092.41,,CONT_AWD_HSHQDC08J00242_7001_HSHQDC06D00021_7001
309508789,N0002419C4448,BAE SYSTEMS NORFOLK SHIP REPAIR INC.,2019-02-01,2020-10-09,137376440.9,,CONT_AWD_N0002419C4448_9700_-NONE-_-NONE-
274243434,0082,"KELLY AVIATION CENTER, L.P.",2010-11-10,2013-10-31,127604479.02,,CONT_AWD_0082_9700_F3460199D0002_9700
347650674,VA11817C1535,"DOCUMENT STORAGE SYSTEMS, INC.",2016-10-01,2021-06-30,110152702.03,,CONT_AWD_VA11817C1535_3600_-NONE-_-NONE-
343258179,SPRRA124F0083,THE BOEING COMPANY,2024-07-26,2031-06-30,84817212.4,,CONT_AWD_SPRRA124F0083_9700_SPRPA118D002U_9700
296731173,DOC46PAPT0803018,REED TECHNOLOGY AND INFORMATION SERVICES LLC,2008-04-08,2010-12-31,72637842.96,,CONT_AWD_DOC46PAPT0803018_1344_DOC50PAPT0410001_1344
272392864,0003,VECTRUS SYSTEMS LLC,2005-08-12,2008-01-01,71749593.29,,CONT_AWD_0003_9700_W52P1J05D0003_9700
292113782,9103,"MAERSK LINE, LIMITED",2011-12-31,2011-12-31,70957640.8,,CONT_AWD_9103_9700_HTC71109D0040_9700
279981931,36C10X25N0152,"VETERANS EVALUATION SERVICES, INC",2025-06-03,2025-08-31,69116123.05,,CONT_AWD_36C10X25N0152_3600_36C10X25D0004_3600
349659591,W9126G20C0034,GUYCO INC,2020-09-25,2023-12-06,68543997.0,,CONT_AWD_W9126G20C0034_9700_-NONE-_-NONE-
349046255,W56HZV16C0079,TEXTRON SYSTEMS CORP,2016-04-04,2017-08-11,66562977.9,,CONT_AWD_W56HZV16C0079_9700_-NONE-_-NONE-
311433788,NNN13D889T,CALIFORNIA INSTITUTE OF TECHNOLOGY,2012-10-01,2019-09-30,64385371.34,,CONT_AWD_NNN13D889T_8000_NNN12AA01C_8000
310852765,N6426719F3007,VSOLVIT LLC,2019-06-28,2025-02-28,63531045.19,,CONT_AWD_N6426719F3007_9700_N0017815D8491_9700
349894877,W912HP18C7001,ROY ANDERSON CORP,2018-06-22,2021-11-05,63322406.0,,CONT_AWD_W912HP18C7001_9700_-NONE-_-NONE-
296940161,DOLOPS16C0022,ACENTRA HEALTH LLC,2016-05-18,2025-06-30,61829993.59,,CONT_AWD_DOLOPS16C0022_1605_-NONE-_-NONE-
291218871,70FBR423F00000030,"MLU SERVICES, LLC",2022-10-19,2025-10-18,57857604.89,,CONT_AWD_70FBR423F00000030_7022_70FB8018D00000013_7022
298100851,FA461016C0008,UNITED PARADYNE CORP,2016-10-01,2022-09-30,55151386.63,,CONT_AWD_FA461016C0008_9700_-NONE-_-NONE-
349654515,W9126G09C0054,"BALFOUR/S&P TWO, A JOINT VENTURE",2009-09-17,2012-09-23,53692228.39,,CONT_AWD_W9126G09C0054_9700_-NONE-_-NONE-
349905408,W912HV19C0007,NIPPO CORPORATION,2019-07-29,2021-12-31,50682193.7,,CONT_AWD_W912HV19C0007_9700_-NONE-_-NONE-
310374265,N0042120F1079,"DAVIS DEFENSE GROUP, INC.",2020-02-03,2026-02-02,45694621.83,,CONT_AWD_N0042120F1079_9700_N0042118D0038_9700
311267576,NAS919549,TECHTRANS INTERNATIONAL INC,1999-10-06,2003-12-31,45669756.01,,CONT_AWD_NAS919549_8000_-NONE-_-NONE-
298456352,FA821717C0003,THE BOEING COMPANY,2017-10-31,2022-03-31,45519067.63,,CONT_AWD_FA821717C0003_9700_-NONE-_-NONE-
272280742,0002,"WM ROBOTS, LLC",2012-02-22,2012-12-14,44691264.0,,CONT_AWD_0002_9700_W911QX12D0002_9700
273508252,0027,"PROTECTIVE PRODUCTS ENTERPRISES, INC.",2013-08-27,2014-08-29,36840673.6,,CONT_AWD_0027_9700_SPM1C112D1026_9700
334743660,SPE60222FR286,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A.,2022-03-21,2022-04-18,36717495.78,,CONT_AWD_SPE60222FR286_9700_SPE60221D0481_9700
309505912,N0002414C4319,ACCENTURE FEDERAL SERVICES LLC,2014-08-22,2021-09-30,36619060.69,,CONT_AWD_N0002414C4319_9700_-NONE-_-NONE-
298588480,FA873022C0057,"L3 TECHNOLOGIES, INC.",2022-08-15,2026-09-30,35228082.42,,CONT_AWD_FA873022C0057_9700_-NONE-_-NONE-
349472487,W9123616C0003,"GREAT LAKES DREDGE & DOCK CO, LLC",2016-01-15,2017-05-11,34811000.0,,CONT_AWD_W9123616C0003_9700_-NONE-_-NONE-
280469621,36C79125K0134,"OPTUMRX ADMINISTRATIVE SERVICES, LLC",2025-01-01,2025-01-31,33990241.26,,CONT_AWD_36C79125K0134_3600_36C79124D0011_3600
279025926,2032H520F00723,TERACORE INC.,2020-09-30,2026-07-05,33748227.08,,CONT_AWD_2032H520F00723_2050_47QTCH18D0062_4732
273660156,0035,ENGINEERING SOLUTIONS & PRODUCTS LLC,2010-04-23,2011-04-25,33603061.54,,CONT_AWD_0035_9700_W15P7T09DB201_9700
296162006,DJBPCCNN10093,"CORECIVIC, INC.",2013-12-01,2019-02-08,31025215.7,,CONT_AWD_DJBPCCNN10093_1540_DJB1PC016_1540
312058498,SAQMMA17C0237,GARDAWORLD FEDERAL,2017-07-28,2026-03-31,30918650.97,,CONT_AWD_SAQMMA17C0237_1900_-NONE-_-NONE-
272140420,0001,HAMILTON SUNDSTRAND CORPORATION,2009-03-20,2012-04-30,29150013.0,,CONT_AWD_0001_9700_W911SR09D0002_9700
312051940,SAQMMA16F2189,GENERAL DYNAMICS INFORMATION TECHNOLOGY INC.,2016-05-26,2022-11-17,29134286.08,,CONT_AWD_SAQMMA16F2189_1900_SAQMMA10D0017_1900
277748774,140D0418F0081,DV UNITED LLC,2018-01-19,2023-10-15,28069231.82,,CONT_AWD_140D0418F0081_1406_HHSN316201200193W_7529
